Sheet,Name,UpdateGroup,OS,IPAddress,UpdateDetails,SuperOpsName,AssetId,HostName,Platform,PlatformFamily,Status,PatchStatus,LastCommunicated,Category,Matched
Wartungsplan 2024 - Q4,NET-SW-04,Network,,10.100.15.204,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-05,Network,,10.100.15.205,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-06,Network,,10.100.15.206,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-10,Network,,10.100.15.210,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-20,Network,,10.100.15.220,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-21,Network,,10.100.15.221,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-22,Network,,10.100.15.222,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-23,Network,,10.100.15.223,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-24,Network,,10.100.15.224,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-SW-25,Network,,10.100.15.225,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-TEMP-01,Sonstige,,10.100.15.181,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-TEMP-02,Sonstige,,10.100.15.182,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-02,Sonstige,,10.100.15.174,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-03,Sonstige,,10.100.15.173,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-04,Sonstige,,10.100.15.176,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-05,Sonstige,,10.100.15.177,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-06,Sonstige,,10.100.15.178,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-07,Kein Update,,10.100.15.184,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-08,Kein Update,,10.100.15.185,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-11,Sonstige,,10.100.15.175,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-UPS-12,Sonstige,,10.100.15.179,Firmware Updates,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-01,Network,,10.100.15.231,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-02,Network,,10.100.15.232,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-03,Network,,10.100.15.233,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-04,Network,,10.100.15.234,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
Wartungsplan 2024 - Q4,NET-WL-AP-05,Network,,10.100.15.235,Keine - Push Updates durch NET-WL-CTL-01,,,,,,,,,,No
